bank_id,bank_name,establishment_date,bank_status_date,bank_location_centroid,has_centroid,credit_type_list,bank_cowardin_class_list,bank_cowardin_subclass_list,bank_cowardin_system_list,bank_status,state_list,county_list,latitude,longitude,bank_type,sponsor_name,address1_sponsor,city_sponsor,state_sponsor,zip_sponsor,address2_sponsor,first_name,last_name,email_poc,address1_poc,city_poc,state_poc,zip_poc,poc_type,address2_poc,year_established,kind_of_bank,pe_owner,listing,private,govt,nonprofit,sponsor_type
2105,Grand Bay Mitigation Bank,12/09/2011,12/09/2011,"{ ""type"": ""Point"", ""coordinates"": [-88.2816085014772, 30.4104862663866] }",TRUE,Wetland,Forested,Needle-Leaved Evergreen,Palustrine,Approved,AL,Mobile [AL],30.41048627,-88.2816085,Public Commercial,ADCNR Lower Black Warrior River Watershed In-Lieu Fee Program,State Lands Division,Montgomery,AL,36130,64 N. Union Street Suite 464,Doug,Deaton,NA,"64 North Union Street, Suite 567",Montgomery,AL,36104,Sponsor,NA,2011,Standard,no,no,no,yes,no,govt
2815,MN - Aitkin - s07607 - Wawina Peatland,NA,15/10/2020,"{ ""type"": ""Point"", ""coordinates"": [-93.120502, 47.011882] }",TRUE,,,,,Withdrawn,MN,Aitkin [MN],47.011882,-93.120502,Public Commercial,Aitkin County Land Department,"209 2nd Street NW, Room 206",Aitkin,MN,56431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Standard,no,no,no,yes,no,govt
3043,Hackers Creek Mitigation Bank,31/01/2017,31/01/2017,"{ ""type"": ""Point"", ""coordinates"": [-80.2653068370322, 39.0986546448898] }",TRUE,"Stream, Wetland",,,"Palustrine, Riverine",Approved,WV,"Harrison [WV], Upshur [WV]",39.09865464,-80.26530684,Public Commercial,"Allstar Ecology, LLC",1582 Meadowdale Road,Fairmont,WV,26554,NA,Ryan,Ward,ryan@allstarecology.com,1582 Meadowdale Road,Fairmont,WV,26554,Sponsor,NA,2017,Umbrella,no,no,no,yes,no,govt
3628,Arlington Wildlife Area - AZGFD,NA,NA,"{ ""type"": ""Point"", ""coordinates"": [-112.775838274553, 33.2692210321546] }",TRUE,,,,,Pending,AZ,Maricopa [AZ],33.26922103,-112.7758383,Public Commercial,Arizona Game & Fish Department,5000 West Carefree Highway,Phoenix,AZ,85086,NA,Shawn,Lowery,slowery@azgfd.gov,Arizona Game and Fish Department,Phoenix,AZ,85086,POC,5000 West Carefree Highway,NA,ILF,no,no,no,yes,no,govt
3629,Chevelon Creek Wildlife Area - AZGFD,NA,NA,"{ ""type"": ""Point"", ""coordinates"": [-110.513615, 34.938086] }",TRUE,,,,,Pending,AZ,Navajo [AZ],34.938086,-110.513615,Public Commercial,Arizona Game & Fish Department,5000 West Carefree Highway,Phoenix,AZ,85086,NA,Shawn,Lowery,slowery@azgfd.gov,Arizona Game and Fish Department,Phoenix,AZ,85086,POC,5000 West Carefree Highway,NA,ILF,no,no,no,yes,no,govt
3630,Powers Butte Wildlife Area LEGACY- AZGFD,16/01/2007,22/08/2011,"{ ""type"": ""Point"", ""coordinates"": [-112.752774, 33.281562] }",TRUE,Wetland,,,Palustrine,Sold-Out,AZ,Maricopa [AZ],33.281562,-112.752774,Public Commercial,Arizona Game & Fish Department,5000 West Carefree Highway,Phoenix,AZ,85086,NA,Shawn,Lowery,slowery@azgfd.gov,Arizona Game and Fish Department,Phoenix,AZ,85086,POC,5000 West Carefree Highway,2007,ILF,no,no,no,yes,no,govt
3631,Cieneguita Wetlands LEGACY- AZGFD,05/01/2006,25/09/2007,"{ ""type"": ""Point"", ""coordinates"": [-110.597632, 31.79557] }",TRUE,Wetland,,,Palustrine,Sold-Out,AZ,Pima [AZ],31.79557,-110.597632,Public Commercial,Arizona Game & Fish Department,5000 West Carefree Highway,Phoenix,AZ,85086,NA,Shawn,Lowery,slowery@azgfd.gov,Arizona Game and Fish Department,Phoenix,AZ,85086,POC,5000 West Carefree Highway,2006,ILF,no,no,no,yes,no,govt
3632,Springwater Canyon Wetlands LEGACY - AZGFD,10/11/2005,21/04/2006,"{ ""type"": ""Point"", ""coordinates"": [-110.586621, 31.805892] }",TRUE,Wetland,,,Palustrine,Sold-Out,AZ,Pima [AZ],31.805892,-110.586621,Public Commercial,Arizona Game & Fish Department,5000 West Carefree Highway,Phoenix,AZ,85086,NA,Shawn,Lowery,slowery@azgfd.gov,Arizona Game and Fish Department,Phoenix,AZ,85086,POC,5000 West Carefree Highway,2005,ILF,no,no,no,yes,no,govt
3633,Martinez Canyon LEGACY - AZGFD,NA,30/09/2009,"{ ""type"": ""Point"", ""coordinates"": [-111.163526, 33.16159] }",TRUE,,,,,Sold-Out,AZ,Pinal [AZ],33.16159,-111.163526,Public Commercial,Arizona Game & Fish Department,5000 West Carefree Highway,Phoenix,AZ,85086,NA,Shawn,Lowery,slowery@azgfd.gov,Arizona Game and Fish Department,Phoenix,AZ,85086,POC,5000 West Carefree Highway,NA,ILF,no,no,no,yes,no,govt
4269,Chevelon Creek Wildlife Area LEGACY - AZGFD,15/11/2005,01/03/2014,"{ ""type"": ""Point"", ""coordinates"": [-110.513615, 34.938086] }",TRUE,Wetland,,,Riverine,Sold-Out,AZ,Navajo [AZ],34.938086,-110.513615,Public Commercial,Arizona Game & Fish Department,5000 West Carefree Highway,Phoenix,AZ,85086,NA,Shawn,Lowery,slowery@azgfd.gov,Arizona Game and Fish Department,Phoenix,AZ,85086,POC,5000 West Carefree Highway,2005,ILF,no,no,no,yes,no,govt
2823,Days Creek Mitigation Bank,29/05/2013,29/05/2013,"{ ""type"": ""Point"", ""coordinates"": [-93.97106, 33.28039] }",TRUE,"Stream, Wetland",,,"Palustrine, Riverine",Approved,AR,Miller [AR],33.28039,-93.97106,Public Commercial,Arkansas Natural Resources Commission,NA,NA,AR,NA,NA,Jay,Whisker,Jay.Whisker@agricultual.arkansas.gov,10421 West Markham Street,Little Rock,MS,72205,POC,NA,2013,Standard,no,no,no,yes,no,govt
1364,MN - Becker - S121-121 * SWCD (Becker County Bank Site),03/06/2010,03/06/2010,"{ ""type"": ""Point"", ""coordinates"": [-96.0457665622187, 47.0827485877179] }",TRUE,Wetland,Emergent,Persistent,Palustrine,Approved,MN,Becker [MN],47.08274859,-96.04576656,Public Commercial,Becker SWCD,"809 - 8th St SE,",Detroit Lakes,MN,56501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,Standard,no,no,no,yes,no,govt
1590,MN - Big Stone - S126-126 ^ CHD - CAS,11/01/1995,05/10/2016,"{ ""type"": ""Point"", ""coordinates"": [-96.3723419436889, 45.4184909419685] }",TRUE,Wetland,Emergent,Persistent,Palustrine,Terminated,MN,Big Stone [MN],45.41849094,-96.37234194,Public Commercial,Big Stone County Highway Department,437 N. Minnesota St.,Ortonville,MN,56278,NA,Nick,Anderson,NA,437 N. Minnesota St.,Ortonville,MN,56278,POC,NA,1995,Standard,no,no,no,yes,no,govt
2728,Palo Alto Ranch Conservation Bank,16/12/2002,16/12/2002,"{ ""type"": ""Point"", ""coordinates"": [-111.41603915510603, 31.866754] }",TRUE,Species,,,,Approved,AZ,Pima [AZ],31.866754,-111.4160392,Public Commercial,Brickyard Investments,451 N. Bonita Avenue,Tucson,AZ,85745,NA,Ross,Humphreys,NA,Palo Alto Ranch Conservation Bank,Tucson,AZ,85745,POC,451 N. Bonita Ave,2002,Standard,no,no,no,yes,no,govt
3409,Scioto Pike Wetland Reserve,NA,04/06/2018,"{ ""type"": ""Point"", ""coordinates"": [-82.91122, 39.15339] }",TRUE,,,,,Withdrawn,OH,Pike [OH],39.15339,-82.91122,Public Commercial,"Buckeye Power, Inc.",667 Busch Boulevard,Columbus,OH,43226-7890,NA,Caitlin,Schiebel,NA,"Buckeye Power, Inc.",Columbus,OH,43226-7890,POC,NA,NA,Standard,no,no,no,yes,no,govt
2722,MN - Clay - S6022 -1621- BRRWD 'Elkton Township Bank,20/12/2019,20/12/2019,"{ ""type"": ""Point"", ""coordinates"": [-96.49423, 46.739533] }",TRUE,Wetland,"Emergent, Scrub-Shrub","Broad-Leaved Deciduous, Persistent",Palustrine,Approved,MN,Clay [MN],46.739533,-96.49423,Public Commercial,Buffalo-Red River Watershed District,123 Front Street,Barnesville,MN,56514,Box 341,.,Houston Engineering Inc.,NA,1401 - 21st Avenue North,Fargo,ND,58102,Consultant,NA,2019,Standard,no,no,no,yes,no,govt
147,Cottonwood Creek Mitigation Bank,24/02/1994,29/04/2014,"{ ""type"": ""Point"", ""coordinates"": [-122.220744, 40.393305] }",TRUE,Wetland,,,Palustrine,Sold-Out,CA,Shasta [CA],40.393305,-122.220744,Public Commercial,California Department of Fish and Game,1416 9th Street,Sacramento,CA,95814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994,Standard,no,no,no,yes,no,govt
2955,Wright Preservation Bank,29/10/1997,23/09/2013,"{ ""type"": ""Point"", ""coordinates"": [-122.776962, 38.431085] }",TRUE,Species,,,,Sold-Out,CA,Sonoma [CA],38.431085,-122.776962,Public Commercial,California Department of Fish and Game,1416 9th Street,Sacramento,CA,95814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,Standard,no,no,no,yes,no,govt
1371,MN - Cass - S133-133 ^ Cty  CAS,29/09/1995,27/04/2017,"{ ""type"": ""Point"", ""coordinates"": [-93.7803263862611, 46.9023482425024] }",TRUE,Wetland,Emergent,Persistent,Palustrine,Terminated,MN,Cass [MN],46.90234824,-93.78032639,Public Commercial,Cass County Environmental Services,PO Box 3000,Walker,MN,56484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,Standard,no,no,no,yes,no,govt
1372,MN - Cass - S134-134 ^ CAS,16/08/1993,26/10/2016,"{ ""type"": ""Point"", ""coordinates"": [-93.9394900479377, 46.9500277274248] }",TRUE,Wetland,Emergent,Persistent,Palustrine,Terminated,MN,Cass [MN],46.95002773,-93.93949005,Public Commercial,Cass County Environmental Services,PO Box 3000,Walker,MN,56484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,Standard,no,no,no,yes,no,govt
1053,Charlotte Stream and Wetland Umbrella Mitigation Bank - Edwards Branch Site,01/01/2004,19/01/2023,"{ ""type"": ""Point"", ""coordinates"": [-80.7683915971089, 35.2055762671232] }",TRUE,"Stream, Wetland",,,"Palustrine, Riverine",Sold-Out,NC,Mecklenburg [NC],35.20557627,-80.7683916,Single-Client,Charlotte-Mecklenburg Storm Water Services,NA,Charlotte ,NC,28202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,Umbrella,no,no,no,Charlotte-Mecklenburg Storm Water Services,no,govt
2051,Charlotte Stream and Wetland Umbrella Mitigation Bank - Dairy Sedgefield Site,01/01/2004,06/04/2022,"{ ""type"": ""Point"", ""coordinates"": [-80.857099, 35.198996] }",TRUE,Stream,,,Riverine,Sold-Out,NC,Mecklenburg [NC],35.198996,-80.857099,Single-Client,Charlotte-Mecklenburg Storm Water Services,NA,Charlotte ,NC,28202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,Umbrella,no,no,no,Charlotte-Mecklenburg Storm Water Services,no,govt
2436,Charlotte Stream and Wetland Umbrella Mitigation Bank - Hope Park Site,NA,05/02/2014,"{ ""type"": ""Point"", ""coordinates"": [-80.747433, 35.246672] }",TRUE,Stream,,,Riverine,Withdrawn,NC,Mecklenburg [NC],35.246672,-80.747433,Single-Client,Charlotte-Mecklenburg Storm Water Services,NA,Charlotte ,NC,28202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Umbrella,no,no,no,Charlotte-Mecklenburg Storm Water Services,no,govt
